FP1 (channel 1),FP2 (channel 2),time
-10.47844050102865,-11.573265287456149,1677703378.107781
-10.945350916907481,-11.089563540851078,1677703378.107789
-11.435128326854908,-10.591498785539507,1677703378.203318
-11.941163383687595,-10.079835496530285,1677703378.210889
-12.456732614584986,-9.555584714856684,1677703378.216995
-12.975070956363435,-9.020013031430375,1677703378.217011
-13.489443820651193,-8.474647570074916,1677703378.225667
-13.993217765060209,-7.92127662377302,1677703378.225684
-14.479928872132561,-7.361945658858207,1677703378.232376
-14.943347975858094,-6.79894847053897,1677703378.232388
-15.377541925375239,-6.234813348860854,1677703378.240296
-15.776930136386996,-5.6722841959275,1677703378.240308
-16.136335752012712,-5.114296621708734,1677703378.247271
-16.451030815284117,-4.563949135725287,1677703378.247284
-16.71677494418916,-4.024469643868931,1677703378.255318
-16.929847095866982,-3.4991775520585735,1677703378.255378
-17.087070107963015,-2.991441869748534,1677703378.262884
-17.18582781088345,-2.5046357948585167,1677703378.262906
-17.224074613295535,-2.042088345839654,1677703378.269859
-17.200337573206806,-1.6070336847002675,1677703378.277011
-17.11371107679159,-1.2025588453093936,1677703378.277023
-16.963844355272006,-0.8315506426734551,1677703378.28459
-16.750922175061106,-0.49664258974478664,1677703378.284607
-16.475639136517866,-0.20016268740575022,1677703378.292481
-16.13916811056875,0.05591702052727971,1677703378.292492
-15.743123428698812,0.2700282230445265,1677703378.300654
-15.289519519065573,0.4410505463331448,1677703378.300677
-14.78072574849636,0.568351301897889,1677703378.307188
-14.219418285763412,0.6518199259718422,1677703378.307211
-13.608529844791827,0.6918963055836715,1677703378.315275
-12.951198196492278,0.6895922495544154,1677703378.315333
-12.250714354036754,0.6465054402203368,1677703378.323072
-11.510471338103999,0.5648252930818219,1677703378.323084
-10.733914415598013,0.44733025587510605,1677703378.330296
-9.924493677479678,0.29737619452632597,1677703378.338154
-9.085619778757227,0.1188756396204727,1677703378.338163
-8.220623606689651,-0.08373219826584591,1677703378.344832
-7.332720572433729,-0.30552059461750947,1677703378.344856
-6.424980137509933,-0.5411234626081975,1677703378.352965
-5.5003010906084455,-0.7847921459337058,1677703378.352999
-4.561392983667349,-1.0304603597051747,1677703378.360094
-3.6107640203153966,-1.2718166396071118,1677703378.360116
-2.6507155663757365,-1.5023835173967588,1677703378.367566
-1.6833433230612656,-1.7156025056112607,1677703378.367582
-0.7105450708159415,-1.9049238484239535,1677703378.375438
0.2659652423245253,-2.0638998812502147,1677703378.375492
1.2446374271401535,-2.186280741142499,1677703378.382419
2.2240594835213137,-2.2661110852904645,1677703378.38243
3.2029271478135115,-2.29782640793961,1677703378.389159
4.180009286166765,-2.276347498439184,1677703378.397189
5.154109967954136,-2.1971715563692658,1677703378.397205
6.124028145407567,-2.0564584749539034,1677703378.405155
7.088515942463412,-1.8511108221252857,1677703378.405179
8.046236615384226,-1.5788460902286223,1677703378.412313
8.995723288229536,-1.2382598506751266,1677703378.412331
9.93533958616905,-0.8288785387297656,1677703378.419828
10.863243287777308,-0.35120070555797195,1677703378.419843
11.777354092998126,0.1932742912339476,1677703378.427606
12.67532655600513,0.8020310323178066,1677703378.427615
13.554529161731214,1.4715369161175322,1677703378.435908
14.412030431871752,2.197255681064122,1677703378.435929
15.244592831630435,2.973675872371166,1677703378.442408
16.04867511379129,3.794354336702987,1677703378.442428
16.82044358374947,4.651974600705051,1677703378.449553
17.55579260024654,5.538419756249432,1677703378.449573
18.250374444481206,6.4448592399675055,1677703378.457358
18.899638498129093,7.361848660928073,1677703378.465472
19.498879472060935,8.27944160202558,1677703378.465488
20.04329422592253,9.187312101684888,1677703378.472353
20.528046518162352,10.07488631677668,1677703378.472362
20.948338830624206,10.93148167900682,1677703378.481402
21.29949022557446,11.746451689184733,1677703378.481422
21.577019020085828,12.509334350163078,1677703378.488005
21.776728907013645,13.210002123058548,1677703378.488027
21.89479701713223,13.838811205439653,1677703378.495191
21.92786230681396,14.386747876908377,1677703378.495212
21.873112573024752,14.845569638835004,1677703378.502711
21.72836834501938,15.207938892323027,1677703378.502724
21.49216188207049,15.467546952601355,1677703378.510685
21.163809520397635,15.6192262891708,1677703378.510702
20.743475661085675,15.659049008742809,1677703378.51765
20.23222677443488,15.584409761225022,1677703378.524729
19.63207391441064,15.394091446006618,1677703378.524745
18.946002388496694,15.088312324215742,1677703378.532294
18.177987411436465,14.66875339948865,1677703378.532319
17.33299478352442,14.138565211556465,1677703378.540363
16.41696587208588,13.502353489544657,1677703378.540381
15.436786434761952,12.766143430749615,1677703378.548341
14.40023910086143,11.937322700867448,1677703378.548357
